port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errorrx_packetss,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec,seconds,api_retry
1,81623,0,103898,1664,0,0,0,0,0,0,0,0,0,-2163409184,10.01031303,0
1,81487,0,57178,768,0,0,0,0,0,0,0,0,0,47104,10.01024652,0
1,81474,1,105392,2051,0,0,0,0,0,0,0,0,0,230263296,10.01030731,0
1,81779,1,96879,1856,0,0,0,0,0,0,0,0,0,0,10.01024842,0
1,81512,0,57178,768,0,0,0,0,0,0,0,0,0,30208,10.01024914,0
1,81468,0,105392,1664,0,0,0,0,0,0,0,0,0,0,10.01024461,0
1,81682,0,105392,1664,0,0,0,0,0,0,0,0,0,1933068576,10.01024222,0
1,81474,0,48214,896,0,0,0,0,0,0,0,0,0,-2163409184,10.01024342,0
1,81463,2,103898,2051,0,0,0,0,0,0,0,0,0,230310400,10.01024079,0
1,81702,0,106950,1728,0,0,0,0,0,0,0,0,0,30208,10.01025987,0
1,81483,0,56071,768,0,0,0,0,0,0,0,0,0,-30208,10.01023889,0
1,81469,0,96428,1792,0,0,0,0,0,0,0,0,0,30208,10.01031113,0
1,81507,1,105456,1728,0,0,0,0,0,0,0,0,0,-364558336,10.01026106,0
1,81692,0,57178,768,0,0,0,0,0,0,0,0,0,47104,10.01032233,0
1,81511,1,105392,1664,0,0,0,0,0,0,0,0,0,364481024,10.01025534,0
1,81503,1,105392,2051,0,0,0,0,0,0,0,0,0,-364528128,10.01025319,0
1,81704,0,48665,960,0,0,0,0,0,0,0,0,0,364528128,10.01024318,0
1,81473,0,103898,1664,0,0,0,0,0,0,0,0,0,30208,10.01026297,0
1,81536,0,105392,1664,0,0,0,0,0,0,0,0,0,0,10.01023889,0
1,81693,1,48214,896,0,0,0,0,0,0,0,0,0,-230340608,10.01026511,0
1,81476,0,105456,1728,0,0,0,0,0,0,0,0,0,273219872,10.01024127,0
1,81487,1,105392,2051,0,0,0,0,0,0,0,0,0,-42909472,10.01048183,0
1,81683,1,57178,768,0,0,0,0,0,0,0,0,0,0,10.01024461,0
1,81539,0,105843,1728,0,0,0,0,0,0,0,0,0,30208,10.01025057,0
1,81535,0,96428,1792,0,0,0,0,0,0,0,0,0,42879264,10.00360227,0
1,81510,0,105392,1664,0,0,0,0,0,0,0,0,0,-273219872,10.01023936,0
1,81828,1,57242,832,0,0,0,0,0,0,0,0,0,47104,10.01023841,0
1,81571,1,105392,2051,0,0,0,0,0,0,0,0,0,230263296,10.01031256,0
1,81550,0,105392,1664,0,0,0,0,0,0,0,0,-1032961536,1069023232,10.01023841,0
1,81696,0,47107,896,0,0,0,0,0,0,0,0,1032961536,-1069023232,10.01024318,0
1,81720,1,105456,1728,0,0,0,0,0,0,0,0,0,-364528128,10.01023984,0
1,81496,0,105392,1664,0,0,0,0,0,0,0,0,0,47104,10.01024628,0
1,81802,0,57178,768,0,0,0,0,0,0,0,0,0,0,10.01040554,0
1,81543,1,96492,1856,0,0,0,0,0,0,0,0,0,0,10.01023912,0
1,81708,1,105392,2051,0,0,0,0,0,0,0,0,0,364481024,10.01026654,0
1,81494,0,57565,768,0,0,0,0,0,0,0,0,0,0,10.01025486,0
1,81822,0,103898,1664,0,0,0,0,0,0,0,0,0,30208,10.01023793,0
1,81490,1,106950,1728,0,0,0,0,0,0,0,0,0,0,10.01025152,0
1,81517,0,46720,896,0,0,0,0,0,0,0,0,0,0,10.01024103,0
1,81726,0,105392,1664,0,0,0,0,0,0,0,0,0,0,10.0102818,0
1,81485,1,105392,2051,0,0,0,0,0,0,0,0,0,-30208,10.01025891,0
1,81491,1,48214,896,0,0,0,0,0,0,0,0,0,0,10.01032162,0
1,81663,0,105843,1728,0,0,0,0,0,0,0,0,0,1933098784,10.00574756,0
1,81471,0,106886,1664,0,0,0,0,0,0,0,0,0,-2146631968,10.01024365,0
1,81484,0,55684,768,0,0,0,0,0,0,0,0,0,47104,10.01025629,0
1,81496,1,105392,1664,0,0,0,0,0,0,0,0,0,0,10.01025581,0
1,81720,1,97986,2243,0,0,0,0,0,0,0,0,0,213486080,10.01025057,0
